indicator_id,Date,Hour,geo_id,value
1775,2025-01-01,1,8741,23530.8
1775,2025-01-01,2,8741,22670.3
1775,2025-01-01,3,8741,21420.5
1775,2025-01-01,4,8741,20285.0
1775,2025-01-01,5,8741,19470.5
1775,2025-01-01,6,8741,19242.5
1775,2025-01-01,7,8741,19675.5
1775,2025-01-01,8,8741,20096.0
1775,2025-01-01,9,8741,19935.0
1775,2025-01-01,10,8741,19894.3
1775,2025-01-01,11,8741,20477.8
1775,2025-01-01,12,8741,21162.0
1775,2025-01-01,13,8741,21637.8
1775,2025-01-01,14,8741,22290.8
1775,2025-01-01,15,8741,22850.5
1775,2025-01-01,16,8741,22323.0
1775,2025-01-01,17,8741,22231.0
1775,2025-01-01,18,8741,23225.5
1775,2025-01-01,19,8741,25605.5
1775,2025-01-01,20,8741,26978.5
1775,2025-01-01,21,8741,28108.0
1775,2025-01-01,22,8741,28447.5
1775,2025-01-01,23,8741,27338.8
1775,2025-01-01,24,8741,24773.3
1775,2025-01-02,1,8741,22300.8
1775,2025-01-02,2,8741,20409.3
1775,2025-01-02,3,8741,19378.5
1775,2025-01-02,4,8741,18937.0
1775,2025-01-02,5,8741,18913.5
1775,2025-01-02,6,8741,19766.5
1775,2025-01-02,7,8741,22679.3
1775,2025-01-02,8,8741,26630.3
1775,2025-01-02,9,8741,30234.5
1775,2025-01-02,10,8741,32230.3
1775,2025-01-02,11,8741,32542.3
1775,2025-01-02,12,8741,32106.0
1775,2025-01-02,13,8741,31646.0
1775,2025-01-02,14,8741,31707.3
1775,2025-01-02,15,8741,31524.5
1775,2025-01-02,16,8741,31185.0
1775,2025-01-02,17,8741,31581.8
1775,2025-01-02,18,8741,32712.3
1775,2025-01-02,19,8741,34126.3
1775,2025-01-02,20,8741,34164.3
1775,2025-01-02,21,8741,34192.5
1775,2025-01-02,22,8741,33844.3
1775,2025-01-02,23,8741,31535.3
1775,2025-01-02,24,8741,28283.3
1775,2025-01-03,1,8741,25715.8
1775,2025-01-03,2,8741,23689.0
1775,2025-01-03,3,8741,22524.5
1775,2025-01-03,4,8741,22037.3
1775,2025-01-03,5,8741,21921.3
1775,2025-01-03,6,8741,22581.3
1775,2025-01-03,7,8741,24997.3
1775,2025-01-03,8,8741,28523.3
1775,2025-01-03,9,8741,31526.3
1775,2025-01-03,10,8741,32885.3
1775,2025-01-03,11,8741,33052.5
1775,2025-01-03,12,8741,32398.5
1775,2025-01-03,13,8741,31740.8
1775,2025-01-03,14,8741,31582.0
1775,2025-01-03,15,8741,31166.5
1775,2025-01-03,16,8741,30867.0
1775,2025-01-03,17,8741,31273.8
1775,2025-01-03,18,8741,32258.5
1775,2025-01-03,19,8741,33740.3
1775,2025-01-03,20,8741,33969.5
1775,2025-01-03,21,8741,34177.0
1775,2025-01-03,22,8741,33761.8
1775,2025-01-03,23,8741,31149.5
1775,2025-01-03,24,8741,28316.5
1775,2025-01-04,1,8741,25515.0
1775,2025-01-04,2,8741,23544.0
1775,2025-01-04,3,8741,22149.5
1775,2025-01-04,4,8741,21414.3
1775,2025-01-04,5,8741,21045.8
1775,2025-01-04,6,8741,21087.5
1775,2025-01-04,7,8741,21948.5
1775,2025-01-04,8,8741,23415.0
1775,2025-01-04,9,8741,25287.8
1775,2025-01-04,10,8741,27210.3
1775,2025-01-04,11,8741,28142.8
1775,2025-01-04,12,8741,27855.8
1775,2025-01-04,13,8741,27404.5
1775,2025-01-04,14,8741,27429.5
1775,2025-01-04,15,8741,27575.0
1775,2025-01-04,16,8741,27183.8
1775,2025-01-04,17,8741,27255.0
1775,2025-01-04,18,8741,28214.0
1775,2025-01-04,19,8741,29984.8
1775,2025-01-04,20,8741,30907.5
1775,2025-01-04,21,8741,31371.5
1775,2025-01-04,22,8741,31153.3
1775,2025-01-04,23,8741,29528.3
1775,2025-01-04,24,8741,26887.0
1775,2025-01-05,1,8741,24276.3
1775,2025-01-05,2,8741,22255.8
1775,2025-01-05,3,8741,20813.8
1775,2025-01-05,4,8741,19991.5
1775,2025-01-05,5,8741,19659.3
1775,2025-01-05,6,8741,19674.8
1775,2025-01-05,7,8741,20244.5
1775,2025-01-05,8,8741,21294.3
1775,2025-01-05,9,8741,22638.3
1775,2025-01-05,10,8741,24327.3
