indicator_id,Date,Hour,geo_id,value
1777,2024-07-04,15,8741,4488.5
1777,2024-07-04,16,8741,4542.8
1777,2024-07-04,17,8741,4756.8
1777,2024-07-04,18,8741,5113.3
1777,2024-07-04,19,8741,5648.8
1777,2024-07-04,20,8741,6438.5
1777,2024-07-04,21,8741,7433.8
1777,2024-07-04,22,8741,8615.0
1777,2024-07-04,23,8741,8984.8
1777,2024-07-04,24,8741,8995.0
1777,2024-07-05,1,8741,8611.5
1777,2024-07-05,2,8741,8070.0
1777,2024-07-05,3,8741,7372.8
1777,2024-07-05,4,8741,6757.5
1777,2024-07-05,5,8741,6192.0
1777,2024-07-05,6,8741,5650.0
1777,2024-07-05,7,8741,5088.8
1777,2024-07-05,8,8741,4629.3
1777,2024-07-05,9,8741,4034.0
1777,2024-07-05,10,8741,3654.0
1777,2024-07-05,11,8741,3579.8
1777,2024-07-05,12,8741,3649.3
1777,2024-07-05,13,8741,3883.0
1777,2024-07-05,14,8741,4367.0
1777,2024-07-05,15,8741,4971.5
1777,2024-07-05,16,8741,5638.5
1777,2024-07-05,17,8741,6304.8
1777,2024-07-05,18,8741,6972.5
1777,2024-07-05,19,8741,7485.5
1777,2024-07-05,20,8741,7689.5
1777,2024-07-05,21,8741,7202.8
1777,2024-07-05,22,8741,6702.5
1777,2024-07-05,23,8741,6534.5
1777,2024-07-05,24,8741,6057.5
1777,2024-07-06,1,8741,4906.0
1777,2024-07-06,2,8741,4654.3
1777,2024-07-06,3,8741,4453.0
1777,2024-07-06,4,8741,4301.0
1777,2024-07-06,5,8741,4241.5
1777,2024-07-06,6,8741,4448.0
1777,2024-07-06,7,8741,4745.0
1777,2024-07-06,8,8741,4979.3
1777,2024-07-06,9,8741,5070.0
1777,2024-07-06,10,8741,5112.3
1777,2024-07-06,11,8741,5223.3
1777,2024-07-06,12,8741,5475.5
1777,2024-07-06,13,8741,5847.3
1777,2024-07-06,14,8741,6279.3
1777,2024-07-06,15,8741,6812.0
1777,2024-07-06,16,8741,7378.0
1777,2024-07-06,17,8741,7949.0
1777,2024-07-06,18,8741,8734.0
1777,2024-07-06,19,8741,9656.3
1777,2024-07-06,20,8741,10314.0
1777,2024-07-06,21,8741,10654.5
1777,2024-07-06,22,8741,10799.5
1777,2024-07-06,23,8741,10696.3
1777,2024-07-06,24,8741,10064.0
1777,2024-07-07,1,8741,9495.5
1777,2024-07-07,2,8741,8957.8
1777,2024-07-07,3,8741,8261.3
1777,2024-07-07,4,8741,7647.8
1777,2024-07-07,5,8741,7174.3
1777,2024-07-07,6,8741,6451.8
1777,2024-07-07,7,8741,5673.5
1777,2024-07-07,8,8741,4994.0
1777,2024-07-07,9,8741,4073.0
1777,2024-07-07,10,8741,3151.5
1777,2024-07-07,11,8741,2418.0
1777,2024-07-07,12,8741,1912.3
1777,2024-07-07,13,8741,1609.8
1777,2024-07-07,14,8741,1534.3
1777,2024-07-07,15,8741,1607.8
1777,2024-07-07,16,8741,1877.0
1777,2024-07-07,17,8741,2252.0
1777,2024-07-07,18,8741,2709.0
1777,2024-07-07,19,8741,3240.5
1777,2024-07-07,20,8741,3847.3
1777,2024-07-07,21,8741,4427.0
1777,2024-07-07,22,8741,4997.5
1777,2024-07-07,23,8741,5368.5
1777,2024-07-07,24,8741,5443.8
1777,2024-07-08,1,8741,4845.0
1777,2024-07-08,2,8741,4740.8
1777,2024-07-08,3,8741,4502.3
1777,2024-07-08,4,8741,4182.8
1777,2024-07-08,5,8741,3995.3
1777,2024-07-08,6,8741,3982.0
1777,2024-07-08,7,8741,4004.3
1777,2024-07-08,8,8741,3895.0
1777,2024-07-08,9,8741,3636.0
1777,2024-07-08,10,8741,3503.5
1777,2024-07-08,11,8741,3542.5
1777,2024-07-08,12,8741,3860.0
1777,2024-07-08,13,8741,4449.8
1777,2024-07-08,14,8741,5100.0
1777,2024-07-08,15,8741,5553.5
1777,2024-07-08,16,8741,5921.5
1777,2024-07-08,17,8741,6253.8
1777,2024-07-08,18,8741,6673.5
1777,2024-07-08,19,8741,7149.3
1777,2024-07-08,20,8741,7508.3
1777,2024-07-08,21,8741,7769.3
1777,2024-07-08,22,8741,7916.8
1777,2024-07-08,23,8741,7841.5
1777,2024-07-08,24,8741,7675.5
1777,2024-07-09,1,8741,7840.3
1777,2024-07-09,2,8741,7871.8
1777,2024-07-09,3,8741,7529.5
1777,2024-07-09,4,8741,7001.5
1777,2024-07-09,5,8741,6416.8
1777,2024-07-09,6,8741,5907.0
1777,2024-07-09,7,8741,5553.3
1777,2024-07-09,8,8741,5218.5
1777,2024-07-09,9,8741,4745.8
1777,2024-07-09,10,8741,4328.5
1777,2024-07-09,11,8741,4255.8
1777,2024-07-09,12,8741,4529.8
1777,2024-07-09,13,8741,4986.5
1777,2024-07-09,14,8741,5374.3
1777,2024-07-09,15,8741,5769.8
1777,2024-07-09,16,8741,6119.8
1777,2024-07-09,17,8741,6277.3
1777,2024-07-09,18,8741,6199.0
1777,2024-07-09,19,8741,6032.5
1777,2024-07-09,20,8741,5776.8
1777,2024-07-09,21,8741,5099.0
1777,2024-07-09,22,8741,4494.8
1777,2024-07-09,23,8741,3829.8
1777,2024-07-09,24,8741,3431.5
1777,2024-07-10,1,8741,3854.5
1777,2024-07-10,2,8741,3557.5
1777,2024-07-10,3,8741,3230.0
1777,2024-07-10,4,8741,2955.5
1777,2024-07-10,5,8741,2760.8
1777,2024-07-10,6,8741,2647.8
1777,2024-07-10,7,8741,2557.3
1777,2024-07-10,8,8741,2430.0
1777,2024-07-10,9,8741,2245.5
1777,2024-07-10,10,8741,2194.5
1777,2024-07-10,11,8741,2350.0
1777,2024-07-10,12,8741,2744.0
1777,2024-07-10,13,8741,3191.0
1777,2024-07-10,14,8741,3621.5
1777,2024-07-10,15,8741,3849.5
1777,2024-07-10,16,8741,3993.3
1777,2024-07-10,17,8741,4096.5
1777,2024-07-10,18,8741,4152.3
